adp,player
1,LEON DRAISAITL
2,CONNOR MCDAVID
3,AUSTON MATTHEWS
4,NATHAN MACKINNON
5,ALEX OVECHKIN
6,KIRILL KAPRIZOV
7,STEVEN STAMKOS
8,NIKITA KUCHEROV
9,DAVID PASTRNAK
10,JONATHAN HUBERDEAU
11,MATTHEW TKACHUK
12,JT MILLER
13,MIKKO RANTANEN
14,BRADY TKACHUK
15,CALE MAKAR
16,TIMO MEIER
17,MITCHELL MARNER
18,ALEKSANDER BARKOV
19,KYLE CONNOR
20,SEBASTIAN AHO
21,ROMAN JOSI
22,IGOR SHESTERKIN
23,JOHNNY GAUDREAU
24,ALEX DEBRINCAT
25,CHRIS KREIDER
26,MIKA ZIBANEJAD
27,EVANDER KANE
28,VLADIMIR TARASENKO
29,FILIP FORSBERG
30,PATRICK KANE
31,ELIAS LINDHOLM
32,ANDREI SVECHNIKOV
33,VICTOR HEDMAN
34,ANDREI VASILEVSKIY
35,WILLIAM NYLANDER
36,SIDNEY CROSBY
37,ARTEMI PANARIN
38,JOE PAVELSKI
39,JOHN TAVARES
40,JAKE GUENTZEL
41,EVGENI MALKIN
42,JASON ROBERTSON
43,GABRIEL LANDESKOG
44,SAM REINHART
45,PATRIK LAINE
46,PIERRE-LUC DUBOIS
47,ROOPE HINTZ
48,PATRICE BERGERON
49,THATCHER DEMKO
50,KEVIN FIALA
51,MATT DUCHENE
52,JOSH NORRIS
53,JACK EICHEL
54,ANZE KOPITAR
55,ELIAS PETTERSSON
56,JUUSE SAROS
57,MARK SCHEIFELE
58,KRIS LETANG
59,JACOB MARKSTROM
60,BRAYDEN POINT
61,BO HORVAT
62,ILYA SOROKIN
63,MORITZ SEIDER
64,JOHN CARLSON
65,BRYAN RUST
66,DARCY KUEMPER
67,BRAD MARCHAND
68,TIM STUETZLE
69,CONNOR HELLEBUYCK
70,PAVEL BUCHNEVICH
71,NICK SUZUKI
72,DYLAN LARKIN
73,TOMAS HERTL
74,NAZEM KADRI
75,EVGENY KUZNETSOV
76,JAKE OETTINGER
77,JONATHAN MARCHESSAULT
78,ADAM FOX
79,CLAUDE GIROUX
80,TREVOR ZEGRAS
81,JACK HUGHES
82,JACK CAMPBELL
83,JOEL ERIKSSON EK
84,VINCENT TROCHECK
85,MARC-ANDRE FLEURY
86,TEUVO TERAVAINEN
87,NOAH DOBSON
88,TYLER SEGUIN
89,SAM BENNETT
90,DAVID PERRON
91,BRENT BURNS
92,MORGAN RIELLY
93,JORDAN KYROU
94,MATS ZUCCARELLO
95,CLAYTON KELLER
96,AARON EKBLAD
97,RYAN O'REILLY
98,ANDREW MANGIAPANE
99,TAGE THOMPSON
100,DREW DOUGHTY
101,ANDERS LEE
102,LUCAS RAYMOND
103,JESPER BRATT
104,RYAN NUGENT-HOPKINS
105,NIKOLAJ EHLERS
106,DRAKE BATHERSON
107,BROCK NELSON
108,ALEX PIETRANGELO
109,SERGEI BOBROVSKY
110,RASMUS DAHLIN
111,OLIVER BJORKSTRAND
112,LOGAN COUTURE
113,BROCK BOESER
114,TRISTAN JARRY
115,FREDERIK ANDERSEN
116,MATT BOLDY
117,DARNELL NURSE
118,BLAKE WHEELER
119,TAYLOR HALL
120,MARK STONE
121,TYLER TOFFOLI
122,QUINN HUGHES
123,ALEX TUCH
124,JORDAN BINNINGTON
125,ADRIAN KEMPE
126,SEAN COUTURIER
127,TYLER BERTUZZI
128,RYAN JOHANSEN
129,SETH JONES
130,ONDREJ PALAT
131,DOUGIE HAMILTON
132,JAMIE BENN
133,LOGAN THOMPSON
134,JEFF SKINNER
135,NICO HISCHIER
136,ZACH HYMAN
137,VICTOR OLOFSSON
138,ELVIS MERZLIKINS
139,TRAVIS KONECNY
140,SHEA THEODORE
141,MIRO HEISKANEN
142,ALEX KILLORN
143,TROY TERRY
144,RYAN HARTMAN
145,MICHAEL BUNTING
146,JACOB TROUBA
147,TANNER JEANNOT
148,JUSTIN FAULK
149,MIKAEL GRANLUND
150,VALERI NICHUSHKIN
151,JARED MCCANN
152,ILYA SAMSONOV
153,COLE CAUFIELD
154,CHANDLER STEPHENSON
155,ZACH WERENSKI
156,ALEX NEDELJKOVIC
157,ROBERT THOMAS
158,RYAN STROME
159,MATHEW BARZAL
160,EVGENII DADONOV
161,CAM TALBOT
162,MACKENZIE WEEGAR
163,BRAYDEN SCHENN
164,DEVON TOEWS
165,JAKUB VORACEK
166,EVAN BOUCHARD
167,THOMAS CHABOT
168,SHAYNE GOSTISBEHERE
169,ANDRE BURAKOVSKY
170,DYLAN STROME
171,ANDREW COPP
172,JOSH MORRISSEY
173,BOONE JENNER
174,REILLY SMITH
175,TJ OSHIE
176,CONOR GARLAND
177,RASMUS ANDERSSON
178,NINO NIEDERREITER
179,IVAN PROVOROV
180,MIKE HOFFMAN
181,NICK SCHMALTZ
182,ALEXANDAR GEORGIEV
183,CAM ATKINSON
184,RYAN PULOCK
185,PHILLIP DANAULT
186,CARTER HART
187,RICKARD RAKELL
188,JAKUB VRANA
189,JACK ROSLOVIC
190,JEAN-GABRIEL PAGEAU
191,NEAL PIONK
192,PHILIPP GRUBAUER
193,TYSON BARRIE
194,YANNI GOURDE
195,JOHN KLINGBERG
196,JOHN GIBSON
197,TONY DEANGELO
198,CONNOR BROWN
199,LINUS ULLMARK
200,MIKHAIL SERGACHEV
201,JEFF CARTER
202,JEFF PETRY
203,KAREL VEJMELKA
204,ANTON LUNDELL
205,COLE SILLINGER
206,DAMON SEVERSON
207,JAMES VAN RIEMSDYK
208,VIKTOR ARVIDSSON
209,YEGOR SHARANGOVICH
210,MARCUS FOLIGNO
211,TOREY KRUG
212,VILLE HUSSO
213,KEVIN HAYES
214,DAWSON MERCER
215,LAWSON CROUSE
216,CARTER VERHAEGHE
217,JAKE DEBRUSK
218,MASON MARCHMENT
219,JAKE ALLEN
220,GUSTAV NYQUIST
221,JORDAN EBERLE
222,VITEK VANECEK
223,JAMES REIMER
224,EELI TOLVANEN
225,ROSS COLTON
226,JONATHAN QUICK
227,CHARLIE MCAVOY
228,IVAN BARBASHEV
229,JORDAN STAAL
230,EVAN RODRIGUES
231,ANTON FORSBERG
232,JARED SPURGEON
233,ILYA MIKHEYEV
234,CHARLIE COYLE
235,SEAN DURZI
236,CAL PETERSEN
237,BLAKE COLEMAN
238,MARK GIORDANO
239,ADAM HENRIQUE
240,TOM WILSON
241,DENIS GURIANOV
242,NOAH HANIFIN
243,OLIVER EKMAN-LARSSON
244,ALEXIS LAFRENIERE
245,KAILER YAMAMOTO
246,ALEX IAFALLO
247,PAUL STASTNY
248,DOMINIK KUBALIK
249,TANNER PEARSON
250,TREVOR MOORE
251,ANTHONY MANTHA
252,JAKOB CHYCHRUN
253,JEREMY SWAYMAN
254,JOSH ANDERSON
255,SETH JARVIS
256,CRAIG SMITH
257,CAM FOWLER
258,DMITRY ORLOV
259,BRANDON SAAD
260,SEMYON VARLAMOV
261,ARTTURI LEHKONEN
262,RADKO GUDAS
263,JADEN SCHWARTZ
264,KEVIN SHATTENKIRK
265,PHIL KESSEL
266,MIKAEL BACKLUND
267,GARNET HATHAWAY
268,KYLE PALMIERI
269,VINCE DUNN
270,COLTON PARAYKO
271,FRANK VATRANO
272,JACCOB SLAVIN
273,MARTIN NECAS
274,ADAM LARSSON
275,MATT MURRAY
276,ANTHONY BEAUVILLIER
277,ESA LINDELL
278,ANTHONY CIRELLI
279,DYLAN COZENS
280,JORDAN GREENWAY
281,CHRISTIAN DVORAK
282,BRENDAN GALLAGHER
283,MATT DUMBA
284,KAAPO KAHKONEN
285,MARTIN FEHERVARY
286,COREY PERRY
287,NICK PAUL
288,OLIVER WAHLSTROM
289,WILLIAM KARLSSON
290,LAURENT BROSSOIT
291,NICOLAS ROY
292,JESSE PULJUJARVI
293,RASMUS RISTOLAINEN
294,ALEXANDER KERFOOT
295,BRANDON HAGEL
296,JASON ZUCKER
297,RYAN SUTER
298,FILIP HRONEK
299,ERIK KARLSSON
300,JONAS BRODIN
301,ERIK HAULA
302,CONOR SHEARY
303,ALEX NEWHOOK
304,VLADISLAV GAVRIKOV
305,SPENCER KNIGHT
306,STUART SKINNER
307,BRANDON MONTOUR
308,MATTIAS EKHOLM
309,ALEXANDER BARABANOV
310,ALEXANDRE CARRIER
311,MIKE MATHESON
312,TYLER MYERS
313,KYLE OKPOSO
