adp,player
1,CONNOR MCDAVID
2,LEON DRAISAITL
3,ELIAS PETTERSSON
4,DAVID PASTRNAK
5,AUSTON MATTHEWS
6,MATTHEW TKACHUK
7,NATHAN MACKINNON
8,JASON ROBERTSON
9,MIKKO RANTANEN
10,ILYA SOROKIN
11,TAGE THOMPSON
12,KIRILL KAPRIZOV
13,JACK HUGHES
14,BRADY TKACHUK
15,JAKE OETTINGER
16,TIM STUTZLE
17,CALE MAKAR
18,ROMAN JOSI
19,ALEXANDAR GEORGIEV
20,ERIK KARLSSON
21,RASMUS DAHLIN
22,MITCHELL MARNER
23,IGOR SHESTERKIN
24,TIMO MEIER
25,CONNOR BEDARD
26,NIKITA KUCHEROV
27,JOHN CARLSON
28,CONNOR HELLEBUYCK
29,MIKA ZIBANEJAD
30,BRAYDEN POINT
31,JACK EICHEL
32,MIKHAIL SERGACHEV
33,JUUSE SAROS
34,WILLIAM NYLANDER
35,ALEKSANDER BARKOV
36,ALEX PIETRANGELO
37,JOSH MORRISSEY
38,LINUS ULLMARK
39,BRANDON MONTOUR
40,SIDNEY CROSBY
41,JAKOB CHYCHRUN
42,J.T. MILLER
43,NICO HISCHIER
44,JOHN TAVARES
45,MORITZ SEIDER
46,ADAM FOX
47,ROOPE HINTZ
48,RYAN NUGENT-HOPKINS
49,CHARLIE MCAVOY
50,PIERRE-LUC DUBOIS
51,JORDAN KYROU
52,ANDREI VASILEVSKIY
53,CARTER VERHAEGHE
54,TRAVIS KONECNY
55,KYLE CONNOR
56,BO HORVAT
57,JACOB TROUBA
58,ALEX OVECHKIN
59,DYLAN LARKIN
60,CLAYTON KELLER
61,STEVEN STAMKOS
62,ALEX DEBRINCAT
63,ELIAS LINDHOLM
64,JOEL ERIKSSON EK
65,ADRIAN KEMPE
66,DOUGIE HAMILTON
67,RASMUS ANDERSSON
68,ANDREI SVECHNIKOV
69,COLE CAUFIELD
70,JAKE GUENTZEL
71,ADAM LARSSON
72,VICTOR HEDMAN
73,ZACH WERENSKI
74,SEBASTIAN AHO
75,DARNELL NURSE
76,SAM REINHART
77,FILIP GUSTAVSSON
78,MIRO HEISKANEN
79,ILYA SAMSONOV
80,DYLAN COZENS
81,KEVIN FIALA
82,OWEN TIPPETT
83,NICK SUZUKI
84,ALEX TUCH
85,BRANDON HAGEL
86,JARED MCCANN
87,MARTIN NECAS
88,JUSTIN FAULK
89,JESPER BRATT
90,VLADIMIR TARASENKO
91,NOAH HANIFIN
92,BOWEN BYRAM
93,MARK SCHEIFELE
94,ARTEMI PANARIN
95,ZACH HYMAN
96,EVAN BOUCHARD
97,MATT BOLDY
98,JEREMY SWAYMAN
99,EVGENI MALKIN
100,ANDREI KUZMENKO
101,TYLER TOFFOLI
102,SETH JONES
103,QUINN HUGHES
104,JOHNNY GAUDREAU
105,JURAJ SLAFKOVSKY
106,LUKE HUGHES
107,DAWSON MERCER
108,PAVEL BUCHNEVICH
109,VINCE DUNN
110,EELI TOLVANEN
111,VITEK VANECEK
112,THATCHER DEMKO
113,JOSH NORRIS
114,TRISTAN JARRY
115,VINCENT TROCHECK
116,NOAH DOBSON
117,KRIS LETANG
118,JAKE WALMAN
119,JOE PAVELSKI
120,TOMAS HERTL
121,MATTY BENIERS
122,ANZE KOPITAR
123,JARED SPURGEON
124,BRENT BURNS
125,RAFAEL HARVEY-PINARD
126,IVAN BARBASHEV
127,SEAN COUTURIER
128,JEFF PETRY
129,THOMAS CHABOT
130,MATHEW BARZAL
131,HAMPUS LINDHOLM
132,JAKE DEBRUSK
133,TOMMY NOVAK
134,TREVOR ZEGRAS
135,PATRIK LAINE
136,ARTTURI LEHKONEN
137,TYLER BERTUZZI
138,JEFF SKINNER
139,IVAN PROVOROV
140,RICKARD RAKELL
141,SHEA THEODORE
142,JUUSO VALIMAKI
143,NEAL PIONK
144,DEVON TOEWS
145,JAKUB VRANA
146,K'ANDRE MILLER
147,FILIP FORSBERG
148,MATS ZUCCARELLO
149,KIRILL MARCHENKO
150,TYSON BARRIE
151,TONY DEANGELO
152,LAWSON CROUSE
153,MIKE MATHESON
154,ROBERT THOMAS
155,SHAYNE GOSTISBEHERE
156,CARTER HART
157,LOGAN COOLEY
158,JONATHAN HUBERDEAU
159,RYAN GRAVES
160,FREDERIK ANDERSEN
161,JAMIE BENN
162,COLTON PARAYKO
163,MORGAN RIELLY
164,GUSTAV FORSLING
165,DRAKE BATHERSON
166,BRAYDEN MCNABB
167,MAX DOMI
168,BROCK NELSON
169,STUART SKINNER
170,MATIAS MACCELLI
171,CONNOR BROWN
172,SEAN DURZI
173,TROY TERRY
174,PHILLIP DANAULT
175,DYLAN STROME
176,MACKENZIE WEEGAR
177,PHILIP TOMASINO
178,JAKE MCCABE
179,LUKAS REICHEL
180,LOGAN COUTURE
181,BEN CHIAROT
182,JONATHAN MARCHESSAULT
183,CHRIS KREIDER
184,MARK STONE
185,GABRIEL VILARDI
186,CHANDLER STEPHENSON
187,BOONE JENNER
188,MATT ROY
189,VALERI NICHUSHKIN
190,FILIP HRONEK
191,SAM BENNETT
192,BROCK BOESER
193,AARON EKBLAD
194,J.T. COMPHER
195,VIKTOR ARVIDSSON
196,ANDREW PEEKE
197,ESA LINDELL
198,CAM FOWLER
199,DAVID SAVARD
200,JOHN KLINGBERG
201,DMITRY ORLOV
202,PATRICK KANE
203,RADKO GUDAS
204,ALEXANDER ROMANOV
205,FRANK VATRANO
206,JACOB MARKSTROM
207,BRAD MARCHAND
208,NIKOLAJ EHLERS
209,SPENCER KNIGHT
210,RASMUS SANDIN
211,KIRBY DACH
212,MARCUS PETTERSSON
213,PYOTR KOCHETKOV
214,SAMUEL GIRARD
215,PAVEL DOROFEYEV
216,BRADY SKJEI
217,DOMINIK KUBALIK
218,LUKE EVANGELISTA
219,ADAM FANTILLI
220,MICHAEL BUNTING
221,ADAM BOQVIST
222,NICK SCHMALTZ
223,SCOTT MAYFIELD
224,DANIEL SPRONG
225,KEVIN SHATTENKIRK
226,DAMON SEVERSON
227,JANI HAKANPAA
228,TRAVIS SANHEIM
229,FILIP CHYTIL
230,SCOTT LAUGHTON
231,BARRETT HAYTON
232,NICK JENSEN
233,MASON MCTAVISH
234,RASMUS RISTOLAINEN
235,RYAN HARTMAN
236,JOONAS KORPISALO
237,MATTIAS EKHOLM
238,CAM TALBOT
239,MATT DUCHENE
240,EETU LUOSTARINEN
241,KAIDEN GUHLE
242,TAYLOR HALL
243,SHANE WRIGHT
244,EVANDER KANE
245,MICHAEL RASMUSSEN
246,MARK GIORDANO
247,MATTIAS SAMUELSSON
248,LUCAS RAYMOND
249,OLIVER BJORKSTRAND
250,MIKAEL GRANLUND
251,JACK ROSLOVIC
252,ANTHONY DUCLAIR
253,BRIAN DUMOULIN
254,ADAM PELECH
255,ANDERS LEE
256,MARTIN FEHERVARY
257,MAX PACIORETTY
258,JONAS SIEGENTHALER
259,VILLE HUSSO
260,RYAN MCDONAGH
261,J.J. MOSER
262,CLAUDE GIROUX
263,SERGEI BOBROVSKY
264,TAYLOR RADDYSH
265,ALEXIS LAFRENIERE
266,JACOB PETERSON
267,TREVOR VAN RIEMSDYK
268,DILLON DUBE
269,PAVEL ZACHA
270,DARCY KUEMPER
271,ERIK GUDBRANSON
272,TYLER MYERS
273,JONAS BRODIN
274,COLE PERFETTI
275,JACK MCBAIN
276,JEAN-GABRIEL PAGEAU
277,NAZEM KADRI
278,WILLIAM EKLUND
279,LUKE SCHENN
280,LOGAN THOMPSON
281,JAMIE OLEKSIAK
282,FABIAN LYSELL
283,MORGAN FROST
284,TANNER JEANNOT
285,BRAYDEN SCHENN
286,VLADISLAV GAVRIKOV
287,DREW DOUGHTY
288,JESPERI KOTKANIEMI
289,KENT JOHNSON
290,ARTHUR KALIYEV
291,OWEN POWER
292,JAKE MIDDLETON
293,DYLAN DEMELO
294,JACCOB SLAVIN
295,JOSH ANDERSON
296,ADIN HILL
297,JAMIE DRYSDALE
298,TY SMITH
299,RYAN PULOCK
300,ARBER XHEKAJ
