"Name","Compare","Age","Catches","Team","GP","W","L","OTL","SO","GA","SA","SV","GAA","SV%","QS","QS%","MIN","Yrs","Salary","Caphit","AAV"
"ANDREI VASILEVSKIY","","27","L","T.B","63","39","18","5","2","156","1868","1712","2.49","0.916","38","60.3","3760","6","$11M","$9.5M","$9.5M"
"SERGEI BOBROVSKY","","33","L","FLA","54","39","7","3","3","137","1566","1429","2.67","0.913","31","57.4","3082","4","$12M","$10M","$10M"
"JUUSE SAROS","","27","L","NSH","67","38","25","3","4","173","2107","1934","2.64","0.918","39","58.2","3931","3","$4M","$5M","$5M"
"JACOB MARKSTROM","","32","L","CGY","63","37","15","9","9","137","1754","1617","2.22","0.922","37","58.7","3695","4","$4M","$6M","$6M"
"DARCY KUEMPER","","32","L","WSH","57","37","12","4","5","138","1754","1616","2.54","0.921","30","52.6","3258","5","$5.5M","$4.5M","$4.5M"
"FREDERIK ANDERSEN","","32","L","CAR","52","35","14","3","4","111","1431","1320","2.17","0.922","29","55.8","3067","1","$4M","$4.5M","$4.5M"
"IGOR SHESTERKIN","","26","L","NYR","53","35","13","4","6","106","1622","1516","2.07","0.935","37","69.8","3070","3","$3M","$5.67M","$5.67M"
"TRISTAN JARRY","","27","L","PIT","58","34","18","6","4","138","1711","1573","2.42","0.919","35","60.3","3415","1","$3.5M","$3.5M","$3.5M"
"THATCHER DEMKO","","26","L","VAN","64","33","22","7","1","168","1967","1799","2.72","0.915","34","53.1","3699","4","$2.5M","$5M","$5M"
"CAM TALBOT","","35","L","OTT","49","32","12","4","3","132","1486","1354","2.76","0.911","27","55.1","2864","1","$4M","$3.67M","$3.67M"
"JACK CAMPBELL","","30","L","EDM","49","31","9","6","5","123","1430","1307","2.66","0.914","28","57.1","2775","5","$1.8M","$1.65M","$1.65M"
"JAKE OETTINGER","","23","L","DAL","48","30","15","1","1","114","1331","1217","2.53","0.914","25","52.1","2702","0","$0.93M","$0.93M","$1.39M"
"CONNOR HELLEBUYCK","","29","L","WPG","66","29","27","10","4","193","2155","1962","2.97","0.910","39","59.1","3903","2","$7.5M","$6.17M","$6.17M"
"MARC-ANDRE FLEURY","","37","L","MIN","56","28","23","5","4","159","1732","1573","2.90","0.908","28","50.0","3284","2","$6M","$7M","$7M"
"MIKKO KOSKINEN","","34","L","","45","27","12","4","1","136","1397","1261","3.10","0.903","18","40.0","2628","0","$4.5M","$4.5M","$4.5M"
"ELVIS MERZLIKINS","","28","L","CBJ","59","27","23","7","2","178","1920","1742","3.22","0.907","27","45.8","3320","5","$5M","$4M","$4M"
"ILYA SOROKIN","","26","L","NYI","52","26","18","8","7","123","1640","1517","2.40","0.925","35","67.3","3072","2","$4M","$4M","$4M"
"LINUS ULLMARK","","28","L","BOS","41","26","10","2","1","95","1142","1047","2.45","0.917","18","43.9","2330","3","$3.5M","$5M","$5M"
"VILLE HUSSO","","27","L","DET","40","25","7","6","2","100","1236","1136","2.56","0.919","22","55.0","2341","3","$0.75M","$0.75M","$0.75M"
"ROBIN LEHNER","","30","L","VGK","44","23","17","2","1","120","1287","1167","2.83","0.907","19","43.2","2546","3","$5M","$5M","$5M"
"ILYA SAMSONOV","","25","L","TOR","44","23","12","5","3","119","1145","1026","3.02","0.896","11","25.0","2361","1","$2M","$2M","$2M"
"JONATHAN QUICK","","36","L","L.A","46","23","13","9","2","116","1284","1168","2.59","0.910","23","50.0","2685","1","$3M","$5.8M","$5.8M"
"JEREMY SWAYMAN","","23","L","BOS","41","23","14","3","3","96","1111","1015","2.41","0.914","22","53.7","2389","1","$0.93M","$0.93M","$1.05M"
"ANTON FORSBERG","","29","L","OTT","46","22","17","4","1","121","1457","1336","2.82","0.917","27","58.7","2571","3","$0.9M","$0.9M","$0.9M"
"CAL PETERSEN","","27","R","L.A","37","20","14","2","3","105","1002","897","2.89","0.895","19","51.4","2176","3","$1M","$0.86M","$0.86M"
"VITEK VANECEK","","26","L","N.J","42","20","12","6","4","103","1117","1014","2.67","0.908","16","38.1","2317","0","$0.75M","$0.72M","$0.72M"
"ALEX NEDELJKOVIC","","26","L","DET","59","20","24","9","4","178","1796","1618","3.31","0.901","26","44.1","3230","1","$2.5M","$3M","$3M"
"JAMES REIMER","","34","L","S.J","48","19","17","10","1","129","1450","1321","2.92","0.911","27","56.3","2652","1","$1.75M","$2.25M","$2.25M"
"SPENCER KNIGHT","","21","L","FLA","32","19","9","3","2","81","876","795","2.79","0.908","14","43.8","1740","1","$0.93M","$0.93M","$2.49M"
"JORDAN BINNINGTON","","29","L","STL","37","18","14","4","2","112","1135","1023","3.13","0.901","15","40.5","2144","5","$4M","$6M","$6M"
"PHILIPP GRUBAUER","","30","L","SEA","55","18","31","5","2","164","1477","1313","3.16","0.889","15","27.3","3111","5","$5M","$5.9M","$5.9M"
"JOHN GIBSON","","29","L","ANA","56","18","26","11","1","172","1789","1617","3.19","0.904","26","46.4","3235","5","$6.4M","$6.4M","$6.4M"
"CRAIG ANDERSON","","41","L","BUF","31","17","12","2","0","97","945","848","3.12","0.897","14","45.2","1867","1","$0.75M","$0.75M","$0.75M"
"ALEXANDAR GEORGIEV","","26","L","COL","33","16","10","2","2","85","833","748","2.92","0.898","13","39.4","1746","3","$2.65M","$2.43M","$2.43M"
"MIKE SMITH","","40","L","EDM","28","16","9","2","2","74","874","800","2.81","0.915","15","53.6","1579","1","$1.9M","$2.2M","$2.2M"
"PAVEL FRANCOUZ","","32","R","COL","21","15","5","1","2","51","608","557","2.55","0.916","6","28.6","1200","2","$1.7M","$2M","$2M"
"ANTTI RAANTA","","33","L","CAR","28","15","5","4","2","62","706","644","2.45","0.912","13","46.4","1516","1","$1.75M","$2M","$2M"
"KAAPO KAHKONEN","","25","L","S.J","37","14","14","4","0","93","1056","963","2.87","0.912","21","56.8","1946","2","$0.75M","$0.73M","$0.73M"
"SCOTT WEDGEWOOD","","29","L","DAL","37","13","15","6","1","110","1218","1108","3.14","0.910","15","40.5","2103","2","$0.83M","$0.83M","$0.83M"
"CARTER HART","","23","L","PHI","45","13","24","7","1","137","1441","1304","3.16","0.905","20","44.4","2603","2","$3.48M","$3.98M","$3.98M"
"DAN VLADAR","","24","L","CGY","23","13","6","2","2","57","608","551","2.75","0.906","11","47.8","1243","1","$0.75M","$0.75M","$0.75M"
"KAREL VEJMELKA","","26","R","ARI","52","13","32","3","1","170","1669","1499","3.68","0.898","22","42.3","2772","3","$0.84M","$0.84M","$0.93M"
"PETR MRAZEK","","30","L","CHI","20","12","6","0","0","58","520","462","3.34","0.888","5","25.0","1042","2","$2.8M","$3.8M","$3.8M"
"ANTHONY STOLARZ","","28","L","ANA","28","12","8","3","3","67","809","742","2.67","0.917","12","42.9","1506","1","$0.95M","$0.95M","$0.95M"
"MARTIN JONES","","32","L","SEA","35","12","18","3","0","114","1141","1027","3.42","0.900","15","42.9","1997","2","$2M","$2M","$2M"
"BRIAN ELLIOTT","","37","L","T.B","19","11","4","3","1","43","489","446","2.43","0.912","6","31.6","1063","1","$0.9M","$0.9M","$0.9M"
"CASEY DESMITH","","30","L","PIT","26","11","6","5","3","66","769","703","2.79","0.914","11","42.3","1417","2","$1.5M","$1.25M","$1.25M"
"DUSTIN TOKARSKI","","32","L","PIT","29","10","12","5","1","91","900","809","3.27","0.899","12","41.4","1671","1","$0.75M","$0.73M","$0.73M"
"SEMYON VARLAMOV","","34","L","NYI","31","10","17","2","2","87","978","891","2.91","0.911","16","51.6","1792","1","$6M","$5M","$5M"
"BRADEN HOLTBY","","32","L","","24","10","10","1","0","61","700","639","2.78","0.913","11","45.8","1318","0","$2M","$2M","$2M"
"ADIN HILL","","26","L","S.J","25","10","11","1","2","61","648","587","2.66","0.906","11","44.0","1375","1","$1.68M","$2.18M","$2.18M"
"LAURENT BROSSOIT","","29","L","VGK","24","10","9","3","1","62","588","526","2.90","0.895","10","41.7","1281","1","$1.65M","$2.33M","$2.33M"
"THOMAS GREISS","","36","L","STL","31","10","15","1","0","92","842","750","3.66","0.891","14","45.2","1507","1","$4.4M","$3.6M","$3.6M"
"ERIC COMRIE","","27","L","BUF","19","10","5","1","1","44","550","506","2.58","0.920","10","52.6","1024","2","$0.75M","$0.75M","$0.75M"
"LOGAN THOMPSON","","25","R","VGK","19","10","5","3","1","49","569","520","2.68","0.914","10","52.6","1097","3","$0.83M","$0.8M","$0.8M"
"NICO DAWS","","21","L","N.J","25","10","11","1","0","66","617","551","3.11","0.893","7","28.0","1271","2","$0.84M","$0.85M","$0.93M"
"MACKENZIE BLACKWOOD","","25","L","N.J","25","9","10","4","2","79","731","652","3.39","0.892","8","32.0","1399","1","$2.8M","$2.8M","$2.8M"
"CHRIS DRIEDGER","","28","L","SEA","27","9","14","1","1","73","722","649","2.96","0.899","9","33.3","1478","2","$2.5M","$3.5M","$3.5M"
