team,1a,1b,backup,out
TBL,vasilevskiy,,,
NYR,shesterkin,,,
WPG,hellebuyck,,,
NYI,sorokin,,varlamov,
NSH,saros,,lankinen,
PIT,jarry,,,
CAR,andersen,,raanta,
CGY,markstrom,,vladar,
FLA,bobrovsky,,knight,
VAN,demko,,,
EDM,campbell,,smith,
CBJ,merzlikins,,korpisalo,
BOS,swayman,ullmark,,
DAL,oettinger,,,
VGK,brossoit,thompson,,lehner
WSH,kuemper,,,
MON,price,,allen,
ANA,gibson,,stolarz,
PHI,hart,,,
OTT,talbot,,forsberg,
STL,binnington,,greiss,
DET,husso,nedeljkovic,,
LAK,petersen,quick,,
ARI,vejmelka,,,
NJD,blackwood,vanecek,,
TOR,murray,samsonov,,
SJS,reimer,kahkonen,,
BUF,comrie,luukkonen,,
MIN,fleury,,,
COL,georgiev,francouz,,
SEA,grubauer,,driedger,
CHI,mrazek,,,
