"Name","Compare","Pos","Age","Team","GP","PPG","PPA","PPP","PP SOG","%PP","PPTOI/G","TOI","PPTOI","PPP/60PPMIN","PP IPP"
"CONNOR MCDAVID","","C","25","EDM","80","10","34","44","80","80.5","03:43","22:04","297:52","8.9","81.5"
"LEON DRAISAITL","","L","26","EDM","80","24","17","41","96","83.4","03:50","22:21","306:56","8.0","75.9"
"JONATHAN HUBERDEAU","","L","29","FLA","80","5","33","38","51","72.5","03:41","19:26","295:08","7.7","74.5"
"J.T. MILLER","","C","29","VAN","80","8","30","38","52","68.4","03:19","21:04","264:40","8.6","76"
"VICTOR HEDMAN","","D","31","T.B","82","6","32","38","52","68.8","03:36","25:05","295:16","7.7","74.5"
"ROMAN JOSI","","D","32","NSH","80","11","26","37","63","68.8","03:23","25:33","270:44","8.2","71.2"
"ARTEMI PANARIN","","L","30","NYR","75","5","32","37","45","72.6","02:59","19:13","224:18","9.9","82.2"
"STEVEN STAMKOS","","C","32","T.B","81","16","20","36","104","70.9","03:43","18:29","300:48","7.2","69.2"
"CHRIS KREIDER","","L","31","NYR","81","26","9","35","66","71.1","02:58","18:43","240:14","8.7","67.3"
"MIKKO RANTANEN","","R","25","COL","75","16","19","35","92","72.2","03:54","20:58","292:41","7.2","63.6"
"CALE MAKAR","","D","23","COL","77","9","25","34","56","70.5","03:50","25:40","295:36","6.9","64.2"
"ADAM FOX","","D","24","NYR","78","0","33","33","38","70.7","02:56","23:53","229:12","8.6","70.2"
"TEUVO TERAVAINEN","","L","27","CAR","77","9","22","31","73","64.8","02:57","17:42","226:33","8.2","81.6"
"PATRICK KANE","","R","33","CHI","78","9","22","31","88","76.1","03:47","21:49","295:26","6.3","79.5"
"WILLIAM NYLANDER","","L","26","TOR","81","13","18","31","57","69.5","03:01","18:16","244:33","7.6","62"
"KIRILL KAPRIZOV","","L","25","MIN","81","14","17","31","71","63.5","03:18","19:06","267:58","6.9","77.5"
"QUINN HUGHES","","D","22","VAN","76","0","31","31","46","71.2","03:29","25:15","264:35","7.0","72.1"
"SAM REINHART","","R","26","FLA","78","16","15","31","41","65.5","03:21","17:46","261:20","7.1","62"
"NIKITA KUCHEROV","","R","29","T.B","47","9","21","30","43","74.7","03:54","19:59","183:13","9.8","78.9"
"SIDNEY CROSBY","","C","34","PIT","69","8","22","30","52","71.2","03:20","19:58","230:31","7.8","73.2"
"NAZEM KADRI","","C","31","","71","8","21","29","73","67.4","03:53","19:15","275:08","6.3","56.9"
"ALEX OVECHKIN","","L","36","WSH","77","16","13","29","129","93.6","04:45","20:34","366:02","4.8","65.9"
"AUSTON MATTHEWS","","C","24","TOR","73","16","13","29","76","73.1","03:06","20:37","225:45","7.7","63"
"MATT DUCHENE","","R","31","NSH","78","16","13","29","64","64.2","03:10","19:01","247:10","7.0","59.2"
"MATTHEW TKACHUK","","R","24","CGY","82","12","17","29","73","61.0","02:55","17:54","238:34","7.3","74.4"
"SEBASTIAN AHO","","C","24","CAR","79","13","15","28","50","66.2","02:58","18:57","234:22","7.2","73.7"
"MATS ZUCCARELLO","","R","34","MIN","70","7","21","28","44","61.9","03:06","18:36","217:18","7.7","77.8"
"MIKAEL GRANLUND","","C","30","NSH","80","3","25","28","26","64.1","03:08","20:25","250:21","6.7","56"
"MIKA ZIBANEJAD","","C","29","NYR","81","15","13","28","71","71.7","02:59","19:38","242:14","6.9","54.9"
"ALEX DEBRINCAT","","L","24","OTT","82","14","14","28","62","71.1","03:37","20:51","297:02","5.7","70"
"EVGENY KUZNETSOV","","C","30","WSH","79","8","19","27","68","72.9","03:43","20:17","293:57","5.5","69.2"
"ELIAS PETTERSSON","","C","23","VAN","80","10","17","27","52","65.8","03:14","18:36","258:40","6.3","60"
"TIM STUTZLE","","L","20","OTT","79","7","20","27","48","67.2","03:15","18:25","257:15","6.3","71.1"
"KYLE CONNOR","","L","25","WPG","79","8","19","27","76","69.0","03:24","21:47","268:14","6.0","71.1"
"NATHAN MACKINNON","","C","26","COL","65","7","20","27","77","68.4","03:40","21:04","238:31","6.8","71.1"
