"Name","Compare","Pos","Age","Shoots","Team","GP","G","A","PTS","PTS/GP","Season Pace","82GP Pace","GWG","PPP","PPTOI","%PP","TOI","SOG","+/-","PIM","Yrs","Sal","Caphit","AAV"
"CONNOR MCDAVID","","C","25","L","EDM","56","33","72","105","1.88","154","154","11","37","04:11","86.8","22:09","200","21","20","4","$14M","$12.5M","$12.5M"
"LEON DRAISAITL","","L","26","L","EDM","56","31","53","84","1.50","123","123","8","32","04:14","87.6","22:11","168","29","24","3","$9M","$8.5M","$8.5M"
"BRAD MARCHAND","","L","34","L","BOS","53","29","40","69","1.30","103","107","5","18","03:14","68.1","18:55","143","26","46","3","$5M","$6.13M","$6.13M"
"MITCHELL MARNER","","R","25","R","TOR","55","20","47","67","1.22","99","100","5","14","03:08","68.7","22:26","156","21","20","3","$15M","$10.9M","$10.9M"
"MIKKO RANTANEN","","R","25","L","COL","52","30","36","66","1.27","99","104","7","24","04:01","68.5","19:55","177","30","34","3","$12M","$9.25M","$9.25M"
"PATRICK KANE","","R","33","L","CHI","56","15","51","66","1.18","97","97","3","22","03:55","73.3","22:14","191","-7","14","1","$7M","$10.5M","$10.5M"
"AUSTON MATTHEWS","","C","24","L","TOR","52","41","25","66","1.27","99","104","12","13","03:14","70.3","21:33","222","21","10","2","$15.9M","$11.64M","$11.64M"
"NATHAN MACKINNON","","C","26","R","COL","48","20","45","65","1.35","100","111","2","25","04:07","67.4","20:23","206","22","37","1","$6.15M","$6.3M","$6.3M"
"MARK SCHEIFELE","","C","29","R","WPG","56","21","42","63","1.13","92","92","4","17","03:14","67.5","20:59","126","-4","12","2","$5.5M","$6.13M","$6.13M"
"SIDNEY CROSBY","","C","34","L","PIT","55","24","38","62","1.13","91","92","5","22","03:02","69.4","20:24","159","8","26","3","$9.6M","$8.7M","$8.7M"
"JONATHAN HUBERDEAU","","L","29","L","FLA","55","20","41","61","1.11","90","91","1","24","04:19","77.9","18:25","122","12","36","1","$5.3M","$5.9M","$5.9M"
"MARK STONE","","R","30","R","VGK","55","21","40","61","1.11","90","91","8","17","02:59","57.7","19:04","98","26","28","5","$8M","$9.5M","$9.5M"
"DAVID PERRON","","R","34","R","DET","56","19","39","58","1.04","85","85","2","21","02:43","63.4","18:33","151","6","22","2","$3.09M","$4M","$4M"
"ALEKSANDER BARKOV","","C","26","L","FLA","50","26","32","58","1.16","88","95","6","19","03:59","73.1","20:56","176","12","14","6","$4.75M","$5.9M","$5.9M"
"ARTEMI PANARIN","","L","30","R","NYR","42","17","41","58","1.38","94","113","1","18","04:00","71.8","19:39","106","14","6","4","$13M","$11.64M","$11.64M"
"JAKE GUENTZEL","","L","27","L","PIT","56","23","34","57","1.02","83","83","7","18","03:01","68.9","20:16","141","7","28","2","$5M","$6M","$6M"
"SEBASTIAN AHO","","C","24","L","CAR","56","24","33","57","1.02","83","83","7","18","03:02","66.6","19:28","148","16","32","2","$10.57M","$8.46M","$8.46M"
"ALEX DEBRINCAT","","L","24","R","OTT","52","32","24","56","1.08","84","88","7","18","03:49","70.3","20:32","155","3","12","1","$5.1M","$6.4M","$6.4M"
"RYAN O'REILLY","","C","31","L","STL","56","24","30","54","0.96","79","79","4","12","02:39","61.9","20:45","129","26","18","1","$6M","$7.5M","$7.5M"
"NICKLAS BACKSTROM","","C","34","L","WSH","55","15","38","53","0.96","78","79","0","22","03:05","68.6","18:36","91","0","14","3","$12M","$9.2M","$9.2M"
"GABRIEL LANDESKOG","","L","29","L","COL","54","20","32","52","0.96","77","79","8","15","04:09","69.0","19:57","155","14","34","6","$6.5M","$5.57M","$5.57M"
"JOE PAVELSKI","","R","38","R","DAL","56","25","26","51","0.91","75","75","4","21","03:06","65.7","19:01","139","22","16","1","$5M","$7M","$7M"
"KIRILL KAPRIZOV","","L","25","L","MIN","55","27","24","51","0.93","75","76","3","13","03:14","61.8","18:18","157","10","16","4","$0.93M","$0.93M","$1.39M"
"MAX PACIORETTY","","L","33","L","CAR","48","24","27","51","1.06","79","87","6","12","02:50","56.2","17:56","174","20","14","1","$7M","$7M","$7M"
"MIKA ZIBANEJAD","","C","29","R","NYR","56","24","26","50","0.89","73","73","7","14","03:42","69.5","20:06","171","2","18","6","$5.15M","$5.35M","$5.35M"
"KYLE CONNOR","","L","25","L","WPG","56","26","24","50","0.89","73","73","5","13","03:01","62.9","18:45","166","-4","12","4","$8M","$7.14M","$7.14M"
"JOHN TAVARES","","C","31","L","TOR","56","19","31","50","0.89","73","73","2","12","02:36","57.3","18:12","163","12","14","3","$12M","$11M","$11M"
"ANZE KOPITAR","","C","34","L","L.A","56","13","37","50","0.89","73","73","4","23","03:16","63.8","21:11","118","-7","10","2","$8M","$10M","$10M"
"BROCK BOESER","","R","25","R","VAN","56","23","26","49","0.88","72","72","1","14","03:39","76.5","19:19","141","-3","16","3","$6.13M","$5.88M","$5.88M"
"EVANDER KANE","","L","30","L","EDM","56","22","27","49","0.88","72","72","2","7","02:47","59.5","20:11","194","-1","42","4","$6M","$7M","$7M"
"RYAN STROME","","C","29","R","ANA","56","14","35","49","0.88","72","72","1","18","03:14","60.8","18:17","128","6","39","5","$4M","$4.5M","$4.5M"
"JOHNNY GAUDREAU","","L","28","L","CBJ","56","19","29","48","0.86","70","70","5","19","03:25","65.1","18:25","112","2","6","6","$6.75M","$6.75M","$6.75M"
"BRAYDEN POINT","","C","26","R","T.B","56","23","25","48","0.86","70","70","6","15","03:24","66.8","18:26","131","2","11","6","$6M","$6.75M","$6.75M"
"PATRICE BERGERON","","C","36","R","BOS","54","23","25","48","0.89","71","73","3","13","03:18","67.1","18:13","182","27","16","0","$4.38M","$6.88M","$6.88M"
"DAVID PASTRNAK","","R","26","R","BOS","48","20","28","48","1.00","74","82","3","14","03:29","70.5","18:37","176","10","24","1","$4M","$6.67M","$6.67M"
"PAVEL BUCHNEVICH","","L","27","L","STL","54","20","28","48","0.89","71","73","2","8","02:14","41.5","18:44","120","12","42","3","$3.5M","$3.25M","$3.25M"
"TYSON BARRIE","","D","30","R","EDM","56","8","40","48","0.86","70","70","2","23","03:30","72.3","21:24","146","4","10","2","$3.75M","$3.75M","$3.75M"
"ELIAS LINDHOLM","","C","27","R","CGY","56","19","28","47","0.84","69","69","4","16","03:10","60.4","19:54","130","10","22","2","$3.85M","$4.85M","$4.85M"
"ADAM FOX","","D","24","R","NYR","55","5","42","47","0.85","69","70","1","23","03:44","70.6","24:42","102","19","14","6","$0.93M","$0.93M","$1.78M"
"NIKOLAJ EHLERS","","L","26","L","WPG","47","21","25","46","0.98","71","80","5","13","01:40","34.1","16:54","148","15","15","3","$4.75M","$6M","$6M"
"J.T. MILLER","","C","29","L","VAN","53","15","31","46","0.87","69","71","4","18","03:30","74.8","20:58","106","-6","43","1","$4.5M","$5.25M","$5.25M"
"BLAKE WHEELER","","R","35","R","WPG","50","15","31","46","0.92","70","75","2","15","02:56","61.9","18:20","113","-17","50","2","$6.5M","$8.25M","$8.25M"
"ONDREJ PALAT","","L","31","L","N.J","55","15","31","46","0.84","68","69","6","20","03:13","63.8","17:27","111","1","26","5","$3.45M","$5.3M","$5.3M"
"JASON ROBERTSON","","L","22","L","DAL","51","17","28","45","0.88","68","72","3","6","02:13","48.9","16:53","127","13","16","0","$0.84M","$0.8M","$0.89M"
"KRIS LETANG","","D","35","R","PIT","55","7","38","45","0.82","66","67","2","15","03:05","72.6","24:39","132","19","32","6","$7.25M","$7.25M","$7.25M"
"VICTOR HEDMAN","","D","31","L","T.B","54","9","36","45","0.83","67","68","2","24","03:20","65.5","25:03","136","5","28","3","$8M","$7.88M","$7.88M"
"MATHEW BARZAL","","C","25","R","NYI","55","17","28","45","0.82","66","67","1","8","02:30","55.9","18:45","134","15","48","1","$4M","$7M","$7M"
"ANDRE BURAKOVSKY","","L","27","L","SEA","53","19","25","44","0.83","66","68","3","14","02:12","37.7","15:05","102","4","10","5","$4.4M","$4.9M","$4.9M"
"JONATHAN MARCHESSAULT","","L","31","R","VGK","55","18","26","44","0.80","65","66","4","6","02:33","48.9","17:25","176","19","39","2","$5M","$5M","$5M"
"DAVID KREJCI","","C","36","R","","51","8","36","44","0.86","115","71","1","16","02:32","51.1","17:08","83","17","16","0","$7M","$7.25M","$7.25M"
"CALE MAKAR","","D","23","R","COL","44","8","36","44","1.00","70","82","3","22","04:12","68.3","24:18","104","17","12","5","$0.93M","$0.88M","$2.85M"
"JOHN CARLSON","","D","32","R","WSH","52","10","34","44","0.85","66","69","1","15","03:16","71.0","23:47","128","-5","12","4","$8M","$8M","$8M"
"OLIVER BJORKSTRAND","","R","27","R","CBJ","56","18","26","44","0.79","64","64","0","6","01:37","45.3","17:37","143","-15","23","4","$2.5M","$2.5M","$2.5M"
"TYLER TOFFOLI","","R","30","R","CGY","52","28","16","44","0.85","66","69","5","10","02:25","53.5","17:31","158","0","24","2","$3.25M","$4.25M","$4.25M"
"TOMAS HERTL","","C","28","L","S.J","50","19","24","43","0.86","65","71","2","10","02:38","57.3","19:07","112","1","27","6","$4.75M","$5.63M","$5.63M"
"CLAUDE GIROUX","","R","34","R","OTT","54","16","27","43","0.80","64","65","2","11","02:37","52.0","18:06","120","-4","12","3","$7.2M","$8.28M","$8.28M"
"JAMES VAN RIEMSDYK","","L","33","L","PHI","56","17","26","43","0.77","63","63","1","12","02:42","53.0","16:33","132","2","14","1","$7M","$7M","$7M"
"VINCENT TROCHECK","","C","29","R","NYR","47","17","26","43","0.91","67","75","2","18","02:56","64.1","18:14","123","-3","20","6","$3.5M","$4.75M","$4.75M"
"MATTHEW TKACHUK","","R","24","L","CGY","56","16","27","43","0.77","63","63","0","15","03:12","61.1","18:09","151","6","55","0","$7M","$7M","$7M"
"ROOPE HINTZ","","C","25","L","DAL","41","15","28","43","1.05","70","86","1","18","02:50","56.2","18:14","92","13","4","1","$2M","$3.15M","$3.15M"
"PHIL KESSEL","","R","34","R","","56","20","23","43","0.77","106","63","3","13","02:51","53.4","17:05","115","-17","12","0","$6M","$8M","$8M"
"JAKUB VORACEK","","R","32","L","CBJ","53","9","34","43","0.81","64","67","2","8","02:36","52.8","16:55","104","-12","18","2","$6.25M","$8.25M","$8.25M"
"T.J. OSHIE","","R","35","R","WSH","53","22","21","43","0.81","64","67","1","17","03:05","65.5","18:04","106","-3","18","3","$4.5M","$5.75M","$5.75M"
"ALEX OVECHKIN","","L","36","R","WSH","45","24","18","42","0.93","66","77","6","17","04:13","92.6","19:30","182","-7","12","4","$10M","$9.54M","$9.54M"
"DOUGIE HAMILTON","","D","29","R","N.J","55","10","32","42","0.76","62","63","2","18","03:03","67.7","22:43","180","20","35","6","$6M","$5.75M","$5.75M"
"BRYAN RUST","","R","30","R","PIT","56","22","20","42","0.75","62","62","6","11","02:47","63.6","19:43","154","9","18","6","$3.5M","$3.5M","$3.5M"
